dish,wave_rating
pizza,-0.303532602827804
flatbread pizza,0.0
burrito,0.0
steak,0.0
mac and cheese,0.3327151775441746
chicken tikka masala,-0.3327151775441746
general tso's chicken,0.0
chili,0.0
lasagna,0.303532602827804
pasta carbonara,0.0
fettuccine alfredo,0.0
calzone,-0.303532602827804
gnocchi,0.0
saltimbocca,0.0
coq au vin,0.0
bouillabaisse,0.0
duck confit,0.0
cassoulet,0.0
quiche lorraine,0.0
sole meunière,-0.303532602827804
tartiflette,0.0
street tacos,0.0
mole poblano,0.0
enchiladas,0.3327151775441746
pozole,0.0
tamales,0.0
cochinita pibil,0.0
birria,0.0
carne asada,0.0
sushi,0.696467397172196
ramen,1.0
shrimp tempura,0.0
tonkatsu,-0.303532602827804
yakitori,0.0
udon,1.3327151775441746
okonomiyaki,0.0
shabu-shabu,0.3327151775441746
donburi,0.3327151775441746
shawarma,0.0
kofta,0.303532602827804
tabbouleh,0.0
shakshuka,0.303532602827804
falafel,0.303532602827804
mansaf,0.3327151775441746
kibbeh,-0.3327151775441746
moussaka,0.0
souvlaki,0.0
dolma (stuffed grapeleaves),-0.303532602827804
spanakopita,0.0
gyros,0.0
stifado,-0.3327151775441746
fasolada,0.0
kleftiko,0.303532602827804
peking duck,0.303532602827804
kung pao chicken,0.0
mapo tofu,0.0
sweet and sour pork,0.0
hot pot,0.0
chow mein,0.0
zongzi,0.0
beef and broccoli,0.0
char siu,0.0
butter chicken,-0.303532602827804
biryani,0.0
rogan josh,-0.3327151775441746
paneer tikka,0.0
chana masala,0.303532602827804
tandoori chicken,0.0
vindaloo,-0.3327151775441746
pad thai,0.0
green curry,0.0
massaman curry,0.0
khao soi,0.0
larb,0.0
tom kha gai,0.0
paella,-0.3181238901859893
tortilla española,0.303532602827804
fabada,0.0
cochinillo,0.0
bacalao a la vizcaína,-0.014591287358185342
bibimbap,0.0
kimchi jjigae,0.0
bulgogi,0.3327151775441746
samgyeopsal,0.0
sundubu jjigae,-1.0
galbi,0.0
naengmyeon,0.303532602827804
dakgalbi,0.0
shepard's pie,0.0
fish and chips,0.0
poke,0.0
huli huli,0.0
fajita,0.0
quesadilla,0.0
bbq ribs,-0.3327151775441746
buffalo wings,0.0
pot roast,0.3327151775441746
jambalaya,-1.0
alaskan salmon,0.0
fried chicken,0.3327151775441746
chicken pot pie,0.0
chicken nuggets or tenders,0.0
po boy,0.0
cobb salad,0.0
caesar salad,0.0
italian salad,0.0
taco salad,0.0
greek salad,0.3327151775441746
fattoush,0.0
wedge salad,0.0
pasta salad,0.0
reuben sandwich,0.0
club sandwich,0.0
philly cheese steak,-1.0
fried chicken sandwich,0.303532602827804
pulled pork sandwich,0.0
panini/grilled cheese w/ tomato soup,-0.3327151775441746
blt,0.0
french dip,0.0
italian sandwich,-0.3327151775441746
sloppy joe,0.0
meatball sub,0.0
chicken noodle soup,0.0
pho,-0.3327151775441746
minestrone,0.0
french onion soup,-0.303532602827804
clam chowder,0.0
cream of mushroom soup,-0.303532602827804
lentil soup,0.0
broccoli and cheddar soup,0.0
tortilla soup,0.0
