dish,wave_rating
pizza,0
flatbread pizza,0
burrito,0
steak,0
mac and cheese,0
chicken tikka masala,-1
general tso's chicken,0
chili,0
lasagna,0
pasta carbonara,0
fettuccine alfredo,0
calzone,0
gnocchi,0
saltimbocca,-1
coq au vin,0
bouillabaisse,0
duck confit,0
cassoulet,0
quiche lorraine,0
sole meunière,0
tartiflette,0
street tacos,0
mole poblano,0
enchiladas,0
pozole,0
tamales,0
cochinita pibil,0
birria,0
carne asada,0
sushi,0
ramen,0
shrimp tempura,0
tonkatsu,0
yakitori,0
udon,0
okonomiyaki,0
shabu-shabu,0
donburi,0
shawarma,-1
kofta,0
tabbouleh,0
shakshuka,0
falafel,0
mansaf,0
kibbeh,0
moussaka,0
souvlaki,0
dolma (stuffed grapeleaves),0
spanakopita,0
gyros,0
stifado,0
fasolada,0
kleftiko,0
peking duck,0
kung pao chicken,0
mapo tofu,0
sweet and sour pork,0
hot pot,0
chow mein,0
zongzi,0
beef and broccoli,0
char siu,-1
butter chicken,0
biryani,0
rogan josh,0
paneer tikka,0
chana masala,0
tandoori chicken,0
vindaloo,0
pad thai,0
green curry,0
massaman curry,0
khao soi,0
larb,0
tom kha gai,0
paella,0
tortilla española,0
fabada,0
cochinillo,0
bacalao a la vizcaína,0
bibimbap,0
kimchi jjigae,0
bulgogi,0
samgyeopsal,0
sundubu jjigae,0
galbi,0
naengmyeon,0
dakgalbi,0
shepard's pie,0
fish and chips,0
poke,0
huli huli,0
fajita,0
quesadilla,0
bbq ribs,0
buffalo wings,0
pot roast,0
jambalaya,0
alaskan salmon,0
fried chicken,0
chicken pot pie,0
chicken nuggets or tenders,0
po boy,0
cobb salad,0
caesar salad,0
italian salad,0
taco salad,0
greek salad,-1
fattoush,0
wedge salad,-1
pasta salad,0
reuben sandwich,0
club sandwich,0
philly cheese steak,0
fried chicken sandwich,0
pulled pork sandwich,0
panini/grilled cheese w/ tomato soup,0
blt,0
french dip,0
italian sandwich,0
sloppy joe,0
meatball sub,0
chicken noodle soup,0
pho,0
minestrone,0
french onion soup,0
clam chowder,0
cream of mushroom soup,0
lentil soup,0
broccoli and cheddar soup,0
tortilla soup,0
