dish,wave_rating
pizza,0.0
flatbread pizza,0.0
burrito,0.3327151775441746
steak,0.0
mac and cheese,0.3327151775441746
chicken tikka masala,0.0
general tso's chicken,0.0
chili,0.0
lasagna,0.0
pasta carbonara,0.0
fettuccine alfredo,0.3327151775441746
calzone,0.0
gnocchi,0.0
saltimbocca,0.0
coq au vin,0.0
bouillabaisse,0.0
duck confit,0.3327151775441746
cassoulet,0.0
quiche lorraine,0.0
sole meunière,0.0
tartiflette,-1.0
street tacos,0.6654303550883492
mole poblano,0.0
enchiladas,0.0
pozole,0.0
tamales,0.0
cochinita pibil,0.0
birria,0.0
carne asada,0.3327151775441746
sushi,0.0
ramen,0.0
shrimp tempura,0.0
tonkatsu,-1.0
yakitori,0.0
udon,0.0
okonomiyaki,0.3327151775441746
shabu-shabu,0.0
donburi,0.0
shawarma,0.0
kofta,0.0
tabbouleh,0.0
shakshuka,0.0
falafel,0.0
mansaf,0.0
kibbeh,0.0
moussaka,0.0
souvlaki,-0.3327151775441746
dolma (stuffed grapeleaves),0.0
spanakopita,0.0
gyros,0.3327151775441746
stifado,-1.0
fasolada,-0.3327151775441746
kleftiko,0.0
peking duck,0.3327151775441746
kung pao chicken,1.0
mapo tofu,0.0
sweet and sour pork,0.3327151775441746
hot pot,0.0
chow mein,1.0
zongzi,0.0
beef and broccoli,0.0
char siu,0.0
butter chicken,0.0
biryani,0.0
rogan josh,0.0
paneer tikka,-0.3327151775441746
chana masala,0.0
tandoori chicken,0.0
vindaloo,0.0
pad thai,0.0
green curry,0.0
massaman curry,0.0
khao soi,0.0
larb,-0.3327151775441746
tom kha gai,-1.0
paella,0.0
tortilla española,0.0
fabada,0.0
cochinillo,0.0
bacalao a la vizcaína,0.0
bibimbap,0.3327151775441746
kimchi jjigae,0.0
bulgogi,-0.3327151775441746
samgyeopsal,0.0
sundubu jjigae,0.0
galbi,0.0
naengmyeon,0.0
dakgalbi,0.0
shepard's pie,0.0
fish and chips,0.0
poke,-0.3327151775441746
huli huli,0.0
fajita,0.0
quesadilla,0.0
bbq ribs,0.0
buffalo wings,0.3327151775441746
pot roast,0.6654303550883492
jambalaya,0.0
alaskan salmon,0.0
fried chicken,0.3327151775441746
chicken pot pie,0.0
chicken nuggets or tenders,0.0
po boy,0.0
cobb salad,0.0
caesar salad,0.0
italian salad,0.0
taco salad,0.0
greek salad,0.0
fattoush,0.0
wedge salad,0.0
pasta salad,0.0
reuben sandwich,0.0
club sandwich,0.0
philly cheese steak,0.0
fried chicken sandwich,0.0
pulled pork sandwich,0.0
panini/grilled cheese w/ tomato soup,0.0
blt,0.0
french dip,-0.3327151775441746
italian sandwich,0.0
sloppy joe,0.0
meatball sub,0.6654303550883492
chicken noodle soup,0.0
pho,0.0
minestrone,0.0
french onion soup,0.0
clam chowder,0.0
cream of mushroom soup,-0.3327151775441746
lentil soup,0.0
broccoli and cheddar soup,0.3327151775441746
tortilla soup,0.3327151775441746
